CIDADE:Pirassununga | COMUM: | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:raphael | INSTRUMENTO: | NOME ANCIAO: | NOME COOPERA: | NOME ENC.:;
CIDADE:Pirassununga | COMUM:teasdf | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:asdasdfasdf | INSTRUMENTO:asdf | NOME ANCIAO:asdfasdf | NOME COOPERA:asdf | NOME ENC.:asdf;
CIDADE:Pirassununga | COMUM:teasdf | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:asdasdfasdf | INSTRUMENTO:asdf | NOME ANCIAO:asdfasdf | NOME COOPERA:asdf | NOME ENC.:asdf;
CIDADE:Pirassununga | COMUM:teasdf | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:asdasdfasdf | INSTRUMENTO:asdf | NOME ANCIAO:asdfasdf | NOME COOPERA:asdf | NOME ENC.:asdf;
CIDADE:Pirassununga | COMUM:teasdf | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:asdasdfasdf | INSTRUMENTO:asdf | NOME ANCIAO:asdfasdf | NOME COOPERA:asdf | NOME ENC.:asdf;
CIDADE:Pirassununga | COMUM:oi | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi2 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi3 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi3 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi3 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi4 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi5 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi5 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi6 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi7 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi8 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi8 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi8 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi9 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi10 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi10 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi10 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi10 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi10 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi10 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi10 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi20 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
CIDADE:Pirassununga | COMUM:oi2 | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:oi21 | INSTRUMENTO:oi | NOME ANCIAO: | NOME COOPERA:oi | NOME ENC.:oi;
